"id";"Gender";"Age";"Driving_License";"Region_Code";"Previously_Insured";"Vehicle_Age";"Vehicle_Damage";"Annual_Premium";"Policy_Sales_Channel";"Vintage";"Response"
1;"Male";51;1;3;0;"1-2 Year";"Yes";24920;124;217;0
2;"Male";35;1;4;0;"1-2 Year";"Yes";32851;154;264;1
3;"Female";46;1;28;0;"1-2 Year";"Yes";88996;26;2321;1
4;"Male";65;1;28;0;"1-2 Year";"Yes";44448;26;1000;1
5;"Female";46;1;46;0;"1-2 Year";"Yes";32165;11;68;0
6;"Male";58;1;48;0;"> 2 Years";"Yes";2630;26;132;1
7;"Female";50;0;28;0;"1-2 Year";"No";28942;124;259;0
8;"Female";56;1;20;0;"1-2 Year";"Yes";2630;154;161;0
9;"Male";43;0;30;0;"1-2 Year";"No";25894;26;248;0
10;"Male";53;1;4;1;"1-2 Year";"Yes";37053;26;123;0
11;"Male";51;1;6;0;"1-2 Year";"Yes";2630;156;174;1
12;"Male";37;1;32;0;"1-2 Year";"Yes";17649;26;167;1
13;"Female";20;1;32;0;"< 1 Year";"Yes";28982;160;2343;0
14;"Female";26;1;3;1;"< 1 Year";"No";25671;152;164;0
15;"Male";26;1;28;1;"< 1 Year";"No";45909;152;198;0
16;"Male";52;1;28;0;"1-2 Year";"Yes";24152;26;72;1
17;"Female";111;1;48;0;"1-2 Year";"Yes";2630;26;199;1
18;"Female";25;1;45;1;"< 1 Year";"No";29395;152;114;0
19;"Female";20;1;12;0;"< 1 Year";"Yes";42072;160;165;0
20;"Male";48;1;20;0;"1-2 Year";"Yes";2630;156;46;1
21;"Female";24;1;36;0;"< 1 Year";"Yes";29759;152;48;0
22;"Female";35;0;47;0;"1-2 Year";"No";36150;156;266;0
23;"Male";43;1;28;0;"1-2 Year";"Yes";52304;26;117;1
24;"Female";23;1;28;0;"< 1 Year";"Yes";30354;26;35;0
25;"Female";30;1;35;0;"1-2 Year";"Yes";34700;157;152;1
26;"Female";55;1;6;0;"1-2 Year";"Yes";28104;26;168;0
27;"Male";44;1;30;1;"1-2 Year";"No";32131;152;289;0
28;"Male";53;0;41;0;"1-2 Year";"Yes";35132;26;21;1
29;"Female";67;1;46;0;"1-2 Year";"Yes";33734;124;250;0
30;"Female";73;1;9;0;"> 2 Years";"Yes";38751;26;154;0
31;"Female";44;0;38;0;"1-2 Year";"No";33894;26;67;0
32;"Female";23;1;24;0;"< 1 Year";"No";34308;152;295;0
33;"Female";59;1;50;0;"1-2 Year";"Yes";54771;8;268;1
34;"Female";29;1;2;0;"< 1 Year";"No";36538;152;219;0
35;"Male";67;1;33;0;"1-2 Year";"Yes";31480;124;122;1
36;"Male";33;1;29;1;"< 1 Year";"No";39504;152;185;0
37;"Female";54;1;3;0;"1-2 Year";"Yes";25985;124;188;0
38;"Male";58;1;28;0;"1-2 Year";"Yes";38119;124;210;1
39;"Male";73;1;28;1;"< 1 Year";"No";41122;152;136;0
40;"Male";64;1;28;0;"1-2 Year";"Yes";27693;13;81;1
41;"Male";39;1;28;1;"1-2 Year";"No";39368;124;193;0
42;"Male";26;1;26;0;"< 1 Year";"Yes";2630;156;256;0
43;"Male";53;0;41;0;"1-2 Year";"No";27860;124;226;0
44;"Male";49;1;28;0;"1-2 Year";"Yes";2630;157;164;0
45;"Male";56;1;5;1;"1-2 Year";"No";34574;26;131;0
46;"Male";31;1;48;0;"1-2 Year";"Yes";33120;163;244;1
47;"Male";61;1;28;1;"1-2 Year";"No";42951;55;51;0
48;"Male";56;1;28;1;"1-2 Year";"No";28360;26;134;0
49;"Male";49;1;28;0;"1-2 Year";"Yes";56399;124;140;1
50;"Male";54;0;35;0;"1-2 Year";"No";30870;124;115;0
51;"Male";62;1;28;0;"> 2 Years";"Yes";2630;124;13;1
52;"Male";65;1;28;0;"> 2 Years";"Yes";46670;26;285;1
53;"Female";22;1;36;1;"< 1 Year";"No";37417;152;44;0
54;"Male";27;1;15;1;"< 1 Year";"No";2630;152;181;0
55;"Female";27;1;36;1;"< 1 Year";"No";26786;152;39;0
56;"Male";42;1;28;1;"1-2 Year";"No";48018;124;217;0
57;"Female";24;1;27;1;"< 1 Year";"No";25167;152;211;0
58;"Male";46;1;15;0;"1-2 Year";"Yes";26172;150;295;1
59;"Female";32;1;13;0;"1-2 Year";"Yes";17326;163;65;0
60;"Female";31;1;45;1;"< 1 Year";"No";25756;152;138;0
61;"Male";46;1;45;0;"1-2 Year";"Yes";32380;157;136;0
62;"Male";29;1;41;0;"< 1 Year";"Yes";27892;152;236;0
63;"Male";40;1;15;0;"1-2 Year";"Yes";2630;163;196;1
64;"Female";22;0;28;0;"< 1 Year";"No";2630;154;171;0
65;"Female";24;1;8;1;"1-2 Year";"Yes";33620;124;33;0
66;"Female";31;1;24;0;"1-2 Year";"Yes";43195;157;172;1
67;"Female";37;1;37;0;"1-2 Year";"Yes";2630;157;111;1
68;"Female";25;1;14;1;"< 1 Year";"No";31834;152;219;0
69;"Male";74;1;33;1;"1-2 Year";"No";28592;26;105;0
70;"Male";65;1;28;0;"> 2 Years";"Yes";34148;26;182;1
71;"Male";66;1;45;0;"1-2 Year";"Yes";28124;156;248;0
72;"Male";120;1;35;0;"1-2 Year";"Yes";37763;26;241;0
73;"Female";44;1;28;0;"1-2 Year";"Yes";38347;13;233;0
74;"Female";25;1;8;0;"< 1 Year";"No";52999;152;26;0
75;"Male";50;1;28;0;"> 2 Years";"Yes";48353;26;64;1
76;"Male";48;1;8;1;"1-2 Year";"No";34289;26;69;0
77;"Female";21;1;36;1;"< 1 Year";"No";29035;160;156;0
78;"Male";29;1;8;1;"< 1 Year";"No";2630;152;273;0
79;"Female";56;1;28;0;"1-2 Year";"Yes";48680;26;175;1
80;"Female";77;1;28;0;"> 2 Years";"Yes";38458;124;231;0
81;"Male";24;1;11;1;"< 1 Year";"No";24414;152;291;0
82;"Male";35;1;28;1;"1-2 Year";"Yes";16610;154;82;0
83;"Male";24;1;8;1;"< 1 Year";"No";53381;152;171;0
84;"Male";102;1;28;0;"> 2 Years";"Yes";53519;26;263;1
85;"Male";39;1;28;0;"1-2 Year";"Yes";21664;124;64;0
86;"Male";23;1;27;1;"< 1 Year";"No";2630;152;118;0
87;"Female";21;1;25;1;"< 1 Year";"No";27007;160;222;0
88;"Male";41;1;28;0;"> 2 Years";"Yes";30948;124;145;1
89;"Female";37;0;28;0;"1-2 Year";"No";33104;124;158;0
90;"Female";43;0;41;0;"1-2 Year";"No";2630;154;276;0
91;"Male";26;1;41;1;"< 1 Year";"No";31544;152;210;0
92;"Female";47;1;47;0;"1-2 Year";"No";27650;152;121;0
93;"Male";52;1;46;1;"1-2 Year";"No";2630;26;2580;0
94;"Male";36;1;28;0;"1-2 Year";"Yes";27171;124;246;1
95;"Female";74;1;28;0;"1-2 Year";"Yes";22515;29;24;1
96;"Male";45;1;28;0;"1-2 Year";"Yes";2630;156;44;1
97;"Male";25;1;6;1;"< 1 Year";"No";2630;152;162;0
98;"Female";25;1;29;1;"< 1 Year";"No";39316;152;259;0
99;"Male";22;1;3;0;"< 1 Year";"Yes";31722;152;140;1
100;"Male";26;1;28;1;"< 1 Year";"No";51595;26;153;0
101;"Male";39;1;28;0;"1-2 Year";"Yes";33782;124;177;1
102;"Male";89;1;28;0;"1-2 Year";"Yes";53257;124;157;0
103;"Female";23;1;3;1;"< 1 Year";"No";20394;152;12;0
104;"Female";23;0;18;0;"< 1 Year";"No";31327;152;70;0
105;"Male";42;1;28;0;"> 2 Years";"Yes";41080;124;1952;1
106;"Male";77;1;15;1;"1-2 Year";"No";37924;152;94;0
107;"Female";70;1;28;0;"> 2 Years";"Yes";29042;122;283;1
108;"Female";29;1;41;1;"< 1 Year";"No";23643;152;129;0
109;"Male";30;1;31;1;"< 1 Year";"No";2630;160;2189;0
110;"Female";39;1;28;1;"1-2 Year";"No";44840;26;222;0
111;"Male";70;1;28;0;"1-2 Year";"Yes";63447;26;130;0
112;"Male";69;1;18;0;"1-2 Year";"Yes";36506;131;142;1
113;"Male";59;1;14;0;"1-2 Year";"Yes";2630;157;67;0
114;"Male";37;1;49;0;"1-2 Year";"Yes";2630;163;21;0
115;"Male";47;1;13;0;"1-2 Year";"Yes";2630;26;1736;1
116;"Male";42;1;28;1;"1-2 Year";"No";36111;24;152;0
117;"Female";75;1;47;1;"< 1 Year";"Yes";54933;160;128;0
118;"Male";41;1;41;1;"1-2 Year";"No";2630;26;275;0
119;"Female";24;1;25;0;"< 1 Year";"Yes";31599;152;1608;0
120;"Female";42;1;28;0;"1-2 Year";"Yes";2630;26;154;1
